domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,hard_risk,source_gap,quality_flags,canonical_url
786cosmetics.com,786 Cosmetics,ext_5f55c01bae5cd6b5f0a0e78e,Dakar - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,13.99,USD,in_stock,401,true,true,true,false,false,,https://786cosmetics.com/products/dakar-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_efe7512de8c6df9f75ca19e0,Dubrovnik - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,9.79,USD,in_stock,397,true,true,true,false,false,,https://786cosmetics.com/products/dubrovnik-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_ab5107f3a835da10508757c6,Havana - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,13.99,USD,in_stock,463,true,true,true,false,false,,https://786cosmetics.com/products/havana-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_a36359795b89961a7c052b21,Karachi - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,9.79,USD,in_stock,408,true,true,true,false,false,,https://786cosmetics.com/products/karachi-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_abd25039dea2189dfcca8079,Patagonia - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,13.99,USD,in_stock,472,true,true,true,false,false,,https://786cosmetics.com/products/patagonia-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_c6d113bff874c00abfb4ba33,Tallinn - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,9.79,USD,in_stock,388,true,true,true,false,false,,https://786cosmetics.com/products/tallinn-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_da3b149ed322142c187224b6,Toulouse - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,13.99,USD,in_stock,494,true,true,true,false,false,,https://786cosmetics.com/products/toulouse-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_f56010dd5bf971f7b7f644a6,Uluru - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,9.79,USD,in_stock,606,true,true,true,false,false,,https://786cosmetics.com/products/uluru-breathable-nail-polish
delicatedaisys.com,Delicate Daisys Botanical Beauty,ext_05040ea019efc2b0fe1a9111,Firming & Polishing Body Scrub Sea Salt & Pineapple,beauty_formula,identity_refresh,true,false,false,true,34.99,USD,out_of_stock,398,true,true,true,false,false,,https://delicatedaisys.com/products/firming-polishing-body-scrub-sea-salt-pineapple
delicatedaisys.com,Delicate Daisys Botanical Beauty,ext_5232f3454fc57c62d8d3e7bc,Refreshing Body Wash Bulgarian Rose,beauty_formula,identity_refresh,true,false,false,true,19.99,USD,in_stock,482,true,true,true,false,false,,https://delicatedaisys.com/products/refreshing-body-wash-bulgarian-rose
joocyee.com,Joocyee,ext_10d91302e0cbb32d89cb0cb7,Dual-Ended Eyebrow Pencil & Cream 2.0,beauty_formula,identity_refresh,true,false,false,true,20.9,USD,in_stock,619,true,true,true,false,false,,https://joocyee.com/products/dual-ended-eyebrow-pencil-cream-2-0
medicube.us,Medicube,ext_37711c1df803ce80b791b2c5,Collagen Night Wrapping Mask,beauty_formula,identity_refresh,true,true,false,true,24,USD,in_stock,92,true,true,true,false,false,,https://medicube.us/products/collagen-night-wrapping-mask
