sellable_item_group_id,product_line_id,row_count,live_read_count,stale_payload_count,seed_active_count,seed_active_expectation_count,identity_active_count,sig_mixed_active_expectation,canonical_selection_gap,canonical_content_ref,fresh_best_content_ref,sync_candidate_count,sample_titles
sig_89b12ba19f93571b700f0eb2,pl_f86b1dd7a8ae76ab0330aca9,1,1,1,1,1,0,false,true,external_seed:ext_356317cf3d4fdc55a8656b5e,external_seed:ext_356317cf3d4fdc55a8656b5e,1,Pine Calming Cica Toner Pad
sig_fccf3ca6aac8da7b3f1fb865,pl_47c33523607166761f825a3b,1,1,1,1,1,0,false,true,external_seed:ext_1181cf248cb9f9b5f1ad7a70,external_seed:ext_1181cf248cb9f9b5f1ad7a70,1,Soybean Nourishing Cleansing Oil
sig_1d306ee95dadc9fc9cf58425,pl_769ef558e5a3532fa34947d1,1,1,1,1,1,0,false,true,external_seed:ext_b9fa1a34657d90a71648f81d,external_seed:ext_b9fa1a34657d90a71648f81d,1,Soybean Nourishing Cream
sig_c2e6c546d2eb61035e73900b,pl_d445fe627e0a504ce566ff85,1,1,1,1,1,0,false,true,external_seed:ext_ed0afba5c04f639c15d820fd,external_seed:ext_ed0afba5c04f639c15d820fd,1,Soybean Nourishing Serum
sig_fd467d169ea692b0c033f89c,pl_874c034bfd723260c019f154,1,1,1,1,1,0,false,true,external_seed:ext_12276e4930f337912a5fd639,external_seed:ext_12276e4930f337912a5fd639,1,Soybean Nourishing Sheet Mask
sig_7d2cc62621a278421c25c3e1,pl_55f66f6e9f8efe7bcdfeb81f,1,1,1,1,1,0,false,true,external_seed:ext_a22f02d99b3ce8b53f1a6be5,external_seed:ext_a22f02d99b3ce8b53f1a6be5,1,Soybean Nourishing Toner
sig_6ac3ebf1bac3b7ca02018c2b,pl_d7ed2d184d4efeba3c0aa595,1,1,1,1,1,0,false,true,external_seed:ext_a6accd5d1dd6ce20e45290bc,external_seed:ext_a6accd5d1dd6ce20e45290bc,1,Soybean Panthenol Ampoule
sig_7c5a900ed71de1bf5018a3fa,pl_0362ed7d485cdd69076c28e2,1,1,1,1,1,0,false,true,external_seed:ext_3b2b16783249d409c1195cf6,external_seed:ext_3b2b16783249d409c1195cf6,1,Soybean Panthenol Cleansing Oil
sig_ae4e23a5b0f1426688340c9b,pl_f48d44221be18c93982700f3,1,1,1,1,1,0,false,true,external_seed:ext_8b28e1f7603e3a0bcaa153d5,external_seed:ext_8b28e1f7603e3a0bcaa153d5,1,Soybean Panthenol Cream
sig_b89fa7831ed108c53b8382f9,pl_e55d18ec775394795c3f2486,1,1,1,1,1,0,false,true,external_seed:ext_c7149f3a1741e4a8eb2d5701,external_seed:ext_c7149f3a1741e4a8eb2d5701,1,Soybean Panthenol Sheet Mask
sig_00ec344b9c1c00264d936d64,pl_7373cbca118840b37cee29cd,1,1,1,1,1,0,false,true,external_seed:ext_d02c475630a8ac959414164a,external_seed:ext_d02c475630a8ac959414164a,1,Vita Niacinamide Dark Spot Serum
sig_82e1a1e6fe998a3649f2c003,pl_8f16ee66a511750d0cdf96c4,1,1,1,1,1,0,false,true,external_seed:ext_daaf898179ef2c982fec210b,external_seed:ext_daaf898179ef2c982fec210b,1,Vita Niacinamide Dark Spot Serum Mask
sig_ce4ab4de8b1a85d5e6f96f6b,pl_d833f42aaf0d0cb16459fe74,1,1,1,1,1,0,false,true,external_seed:ext_267205e8964dd5ccf73f7232,external_seed:ext_267205e8964dd5ccf73f7232,1,Soybean Panthenol Toner
sig_0fb332a1243180d7a91b9ffa,pl_acfe788b8e2cfa4038dd9d0b,1,1,1,1,1,0,false,true,external_seed:ext_332e0949ace181c1749e16e6,external_seed:ext_332e0949ace181c1749e16e6,1,Birch Moisturizing Cleanser
missing:external_seed:ext_846a302275a13e3af35b9734,,1,0,1,0,0,0,false,false,external_seed:ext_846a302275a13e3af35b9734,external_seed:ext_846a302275a13e3af35b9734,0,Birch Juice Moisturizing Peeling Cleansing Oil
sig_1e64b76933bdc19f0463ef7b,pl_64dc69a9d4db2bc0da5ccd9b,1,1,1,1,1,0,false,true,external_seed:ext_7dde43f585bdccdbb85c9987,external_seed:ext_7dde43f585bdccdbb85c9987,1,Vita Niacinamide Dark Spot Cream
sig_52d9d07067312daf016c43a2,pl_11f9b8db452dda870085f2bf,1,1,1,1,1,0,false,true,external_seed:ext_5d05aace12f13c757f2efcc8,external_seed:ext_5d05aace12f13c757f2efcc8,1,1025 Dokdo Peeling Gel
missing:external_seed:ext_7ea35b3ed2953110b253ce9c,,1,0,1,0,0,0,false,false,external_seed:ext_7ea35b3ed2953110b253ce9c,external_seed:ext_7ea35b3ed2953110b253ce9c,0,Camellia Deep Collagen Eye Cream 30ml
sig_8394e33aa1f47ac5b6f9daca,pl_18be5a46f41377091ba0a9b4,1,1,1,1,1,0,false,true,external_seed:ext_6150cfa3467b2947462803af,external_seed:ext_6150cfa3467b2947462803af,1,Pine Calming Cica Lotion
sig_a863ff97cc7309c131f20b9a,pl_a3a57e18c401fe87b7efab4f,1,1,1,1,1,1,false,false,external_seed:ext_1ef210a945a4a6beb1da9306,external_seed:ext_1ef210a945a4a6beb1da9306,1,Birch Moisturizing Toner
sig_8f925b1082b861c4fffd2b41,pl_f8fbc42ef31ba00d8de3206b,1,1,1,1,1,1,false,false,external_seed:ext_4db5bc081173014edf761523,external_seed:ext_4db5bc081173014edf761523,1,1025 Dokdo Cleansing Balm 50ml
sig_3c80bf75f3f3785225591960,pl_1024cd421be231a43f7468c4,1,1,1,1,1,1,false,false,external_seed:ext_46fff1a0ea1bace6f4520722,external_seed:ext_46fff1a0ea1bace6f4520722,1,Birch Moisturizing Sun Cushion SPF 50+
sig_be373037359f851acc7c2e9b,pl_3bde01a2b48226b6a88fcd2a,1,1,1,1,1,0,false,true,external_seed:ext_dfd64cd6092756c6eb846e0f,external_seed:ext_dfd64cd6092756c6eb846e0f,1,Camellia Deep Collagen Firming Cream
sig_020c92a05ec378cb3fc18e60,pl_c29da923a5c310d731fd65c1,1,1,1,1,1,0,false,true,external_seed:ext_e62abcf523eb8eb1072f19c5,external_seed:ext_e62abcf523eb8eb1072f19c5,1,Birch Moisturizing Toner Pad
sig_62c649a4cf1314ef4e53f6e1,pl_5c920ea8268774ff77146f8f,1,1,1,1,1,1,false,false,external_seed:ext_c4f616d3d67c75a6b0d4ae27,external_seed:ext_c4f616d3d67c75a6b0d4ae27,1,Camellia Deep Collagen Milky PDRN Toner 150ml
sig_78530282d18eb1df7423d717,pl_691a3cae14793f39eea87940,1,1,1,1,1,0,false,true,external_seed:ext_4a406d4e7ec97f067cab97dc,external_seed:ext_4a406d4e7ec97f067cab97dc,1,Pine Cica Calming Scalp Tonic
sig_0a59e06751a7129dce9185c4,pl_44f16dba81299caac82d5e2a,1,1,1,1,1,0,false,true,external_seed:ext_58265709fba82ce79184a8a4,external_seed:ext_58265709fba82ce79184a8a4,1,Soybean Nourishing Cleanser
sig_f10615a5670deb5134071154,pl_f8a40bce9dcbffab66a42489,1,1,1,1,1,0,false,true,external_seed:ext_ba76596547c059c7f397636d,external_seed:ext_ba76596547c059c7f397636d,1,[DEAL] Birch Mild-Up Sunscreen UVLock SPF 50+ Broad Spectrum
sig_c31fb566f379ba7aa0692c9e,pl_f430be0d46c00927befb8e6c,1,1,1,1,1,0,false,true,external_seed:ext_fa2fb0fd3ed79a5e89d0dc03,external_seed:ext_fa2fb0fd3ed79a5e89d0dc03,1,Mugwort Calming Cream
sig_0ddfc868887ef03d213f9075,pl_d1bf9219c8246a27d9020330,1,1,1,1,1,0,false,true,external_seed:ext_ab4cf87fe2c42c42ed793e72,external_seed:ext_ab4cf87fe2c42c42ed793e72,1,Camellia Deep Collagen Firming Ampoule
sig_3b8dd512a2cbff280610cbab,pl_afa90eb6b0d264f3b96438d0,1,1,1,1,1,0,false,true,external_seed:ext_e7ef913b73f94eb5921023fe,external_seed:ext_e7ef913b73f94eb5921023fe,1,Camellia Deep Collagen Jelly Mask Cleanser
sig_c3b7abd7646a014b0d057a53,pl_78a3e258a8b112515cc8bc32,1,1,1,1,1,0,false,true,external_seed:ext_107d3cbadd4af1917e5184a8,external_seed:ext_107d3cbadd4af1917e5184a8,1,[DEAL] 1025 Dokdo Toner
sig_dfef1ebd37e72e1d96071a97,pl_a5a3fe2d203339bd32630912,1,1,1,1,1,1,false,false,external_seed:ext_519a68c572f7e46df3b01153,external_seed:ext_519a68c572f7e46df3b01153,1,Birch Moisturizing Eye Balm
sig_89b074d0502bed3a10e7e5d3,pl_152df825dd25f3d02243613b,1,1,1,1,1,0,false,true,external_seed:ext_eb5bf9f4fd200d3ec85615e1,external_seed:ext_eb5bf9f4fd200d3ec85615e1,1,[DEAL] 1025 Dokdo Cleanser
sig_04b7bf2c895fe80133919e41,pl_46998d504903726c39584843,1,1,1,1,1,0,false,true,external_seed:ext_86c3bafe3e47472c02dad61f,external_seed:ext_86c3bafe3e47472c02dad61f,1,Birch Moisturizing Cream Double Pack
sig_80bd35ceb0ebeb05cc263747,pl_fe5d65a61a1bd877cd325ac6,1,1,1,1,1,0,false,true,external_seed:ext_c8c0d7cb065cd3975dd89645,external_seed:ext_c8c0d7cb065cd3975dd89645,1,[DEAL] Birch Moisturizing Sunscreen UVLock SPF 45+ Broad Spectrum
missing:external_seed:ext_dd957030ab8e36a7dc29ddc2,,1,0,1,0,0,0,false,false,external_seed:ext_dd957030ab8e36a7dc29ddc2,external_seed:ext_dd957030ab8e36a7dc29ddc2,0,Birch Moisturizing Hand Cream
sig_cd6209c863af3ec4d3fee5d0,pl_d799de11ed1939ff5e2376c9,1,1,1,1,1,0,false,true,external_seed:ext_a0f7c9d52ef357fa5a7a0b6d,external_seed:ext_a0f7c9d52ef357fa5a7a0b6d,1,[DEAL] Birch Moisturizing Cleanser
sig_9fe0ab10c2537aa9b1dd018b,pl_780901491882b485e95961a3,1,1,1,1,1,0,false,true,external_seed:ext_64bbf9948349bcef6a4360a7,external_seed:ext_64bbf9948349bcef6a4360a7,1,Soybean Panthenol Cleanser
sig_e6fa2d33922c51efbb0d678c,pl_994bef2507962a34d3938a24,1,1,1,0,1,0,false,false,external_seed:ext_3d00bbe2a5c93d256b25784d,external_seed:ext_3d00bbe2a5c93d256b25784d,1,1025 Dokdo Cleanser + Dokdo Toner 200ml
sig_5968ca4e3202e03beac9a595,pl_e6420caa2107ff487fb66faa,1,1,1,1,1,1,false,false,external_seed:ext_aee1418f38e982235e39bca9,external_seed:ext_aee1418f38e982235e39bca9,1,1025 Dokdo Cleansing Gel
sig_c9559f0421d12271ee02d805,pl_d5655e64ba42fc5736a61067,1,1,0,1,1,1,false,false,external_seed:ext_04dab6a642edac20a33ccae6,external_seed:ext_04dab6a642edac20a33ccae6,0,1025 Dokdo Toner Pad
sig_5a982221b096c8fc43ec5d81,pl_79982cabc4c654bef30c145d,1,1,0,1,1,1,false,false,external_seed:ext_9c32a1c5ada398419521f2c6,external_seed:ext_9c32a1c5ada398419521f2c6,0,Birch Moisturizing Sun Stick SPF 50+
