domain,brand_examples,rows,catalog_attached,catalog_attached_pct,index_serving_eligible,index_serving_eligible_pct,identity_ready,identity_ready_pct,product_intel_high_quality,product_intel_high_quality_pct,ready_or_covered,catalog_identity_sync,serving_index_sync,identity_refresh,product_intel_review,hold_source_gap,hold_risk_review,quality_flag_summary
rmsbeauty.com,RMS Beauty,9,9,100,4,44.4,7,77.8,8,88.9,1,0,0,0,0,1,7,wellness_or_supplement:4 | accessory_or_tool:2 | regulated_claim_review:2 | bundle_or_sample:1 | missing_full_inci:1 | missing_how_to:1 | missing_or_short_description:1
glossier.com,Glossier,8,8,100,6,75,6,75,5,62.5,0,0,0,0,0,1,7,wellness_or_supplement:4 | missing_or_short_description:2 | regulated_claim_review:2 | accessory_or_tool:1 | bundle_or_sample:1 | missing_full_inci:1
linhart.nyc,Linhart Smile Care,8,8,100,1,12.5,1,12.5,8,100,1,0,0,0,0,2,5,missing_full_inci:4 | missing_how_to:4 | regulated_claim_review:4 | accessory_or_tool:1 | bundle_or_sample:1 | missing_or_short_description:1 | sunscreen_regulated:1
flowerknows.co,Flower Knows,7,7,100,0,0,2,28.6,4,57.1,0,0,0,0,0,0,7,duplicate_canonical_identity_review:7 | missing_full_inci:5 | missing_how_to:5 | accessory_or_tool:2 | missing_or_short_description:1
oiluj.com,OILUJ,5,5,100,3,60,5,100,5,100,0,0,0,0,0,3,2,missing_full_inci:3 | wellness_or_supplement:2 | regulated_claim_review:1
patyka.com,PATYKA,5,5,100,5,100,5,100,3,60,0,0,0,0,0,3,2,missing_full_inci:4 | bundle_or_sample:1 | regulated_claim_review:1
wishtrend.com,By Wishtrend,5,5,100,4,80,4,80,3,60,0,0,0,0,0,4,1,missing_or_short_description:5 | missing_full_inci:2 | regulated_claim_review:1
drjart.com,Dr. Jart+,4,4,100,4,100,2,50,1,25,1,0,0,0,0,1,2,sunscreen_regulated:2 | missing_full_inci:1 | regulated_claim_review:1
glowrecipe.com,Glow Recipe,4,4,100,4,100,3,75,3,75,1,0,0,0,0,0,3,wellness_or_supplement:2 | regulated_claim_review:1 | sunscreen_regulated:1
moroccanoil.com,Moroccanoil,4,4,100,4,100,4,100,4,100,0,0,0,0,0,0,4,regulated_claim_review:3 | accessory_or_tool:2 | wellness_or_supplement:1
peaceoutskincare.com,Peace Out Skincare,4,4,100,4,100,0,0,0,0,0,0,0,0,0,0,4,missing_full_inci:4 | regulated_claim_review:4
hellobubble.com,Bubble,3,3,100,3,100,1,33.3,1,33.3,0,0,0,0,0,2,1,missing_full_inci:2 | regulated_claim_review:1
lamaxime.com,LA MAXIME,3,3,100,1,33.3,3,100,3,100,1,0,0,0,0,0,2,regulated_claim_review:2 | missing_full_inci:1
purito-seoul.com,Purito SEOUL,3,3,100,2,66.7,2,66.7,1,33.3,0,0,0,0,0,3,0,missing_full_inci:3 | missing_or_short_description:2
us.sulwhasoo.com,Sulwhasoo US,3,3,100,3,100,3,100,0,0,0,0,0,0,0,2,1,missing_full_inci:2 | regulated_claim_review:1 | wellness_or_supplement:1
daebyskin.com,DAEBY,2,2,100,2,100,2,100,2,100,2,0,0,0,0,0,0,
fableandmane.com,Fable & Mane,2,2,100,2,100,2,100,2,100,0,0,0,0,0,0,2,missing_full_inci:2 | regulated_claim_review:2
loaskin.com,LOA SKIN,2,2,100,0,0,2,100,2,100,0,0,0,0,0,1,1,missing_full_inci:1 | missing_how_to:1 | wellness_or_supplement:1
olay.com,Olay,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,2,wellness_or_supplement:2
aetasofficial.com,Aetās,1,1,100,1,100,1,100,1,100,1,0,0,0,0,0,0,
aveeno.com,Aveeno,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,missing_full_inci:1
bioderma.us,Bioderma,1,1,100,1,100,1,100,1,100,1,0,0,0,0,0,0,
biossance.com,Biossance,1,1,100,1,100,1,100,1,100,0,0,0,0,0,0,1,regulated_claim_review:1
cocokind.com,cocokind,1,1,100,1,100,1,100,1,100,0,0,0,0,0,0,1,regulated_claim_review:1
daehair.com,dae,1,1,100,1,100,1,100,1,100,0,0,0,0,0,0,1,missing_full_inci:1 | regulated_claim_review:1
dalba.com,d'Alba Global,1,1,100,1,100,1,100,0,0,0,0,0,0,0,0,1,wellness_or_supplement:1
dieuxskin.com,Dieux,1,1,100,1,100,0,0,0,0,0,0,0,0,0,1,0,missing_full_inci:1
gisou.com,Gisou,1,1,100,1,100,1,100,1,100,0,0,0,0,0,1,0,missing_full_inci:1
jvnhair.com,JVN,1,1,100,1,100,1,100,1,100,0,0,0,0,0,0,1,missing_full_inci:1 | missing_or_short_description:1 | regulated_claim_review:1
livingproof.com,Living Proof,1,1,100,1,100,1,100,1,100,0,0,0,0,0,1,0,missing_full_inci:1
patternbeauty.com,PATTERN,1,1,100,1,100,1,100,0,0,0,0,0,0,0,1,0,missing_full_inci:1
peachandlily.com,Peach & Lily,1,1,100,1,100,1,100,0,0,0,0,0,0,0,0,1,regulated_claim_review:1
randco.com,R+Co,1,1,100,1,100,1,100,1,100,0,0,0,0,0,1,0,missing_full_inci:1
skinfix.com,Skinfix,1,1,100,1,100,0,0,0,0,0,0,0,0,0,1,0,missing_full_inci:1
us.innisfree.com,Innisfree US,1,1,100,1,100,1,100,0,0,0,0,0,0,0,0,1,wellness_or_supplement:1
v1.goodmolecules.com,Good Molecules,1,1,100,1,100,1,100,1,100,0,0,0,0,0,0,1,wellness_or_supplement:1
