source,dataset,pipeline_mode_used,sample_hash,image_path_rel,ok,fail_reason,reason_detail,ext_from_path,magic_type,container_hint,decode_ext,decode_magic,decode_error_code,heic_conversion_applied,heic_conversion_status,heic_conversion_tool,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,under_eye_left_pixels,under_eye_right_pixels,module_guard_triggered,module_min_pixels_under_eye,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,module_pixels_map,module_guard_pixel_diffs,degraded_reasons,reverted_modules,guarded_modules,note
fasseg,fasseg,fasseg_eval,ce0ac1e23a218d3cb9b7,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,82c2d3069d6d733ee877,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,8d974d161a9c8ae30624,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,91055fee7b4c06e24afe,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,9d1a0c5281d6231d9f39,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,e4e50994674fce3ba9af,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,d945b7c08ab302d5a0fd,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,3b95898a5fa1505349ab,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,8a41f4c1957feb9f844c,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,80cab335c4550101b3f2,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,4dd4aba800bcc725b892,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,9f3f9948a5cc723496dc,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,a8ef4727bd0ba30f1519,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,cad11a987dcb59b9c31a,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,b6d88fa7eee019450100,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,47ddb4a41c167ced0283,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,9bab497955bb0a86418e,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,a5aa357f8256daf1a187,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,aa06e324845f710e2ff7,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,29eac7b6512d2f13a56e,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
