source,dataset,pipeline_mode_used,sample_hash,ok,fail_reason,reason_detail,decode_ext,decode_magic,decode_error_code,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
fasseg,fasseg,fasseg_eval,89c2415ac2f313ec0afe,true,,,,,,,,200,fail,7,2172,0,0.1,,0.006,0.371,0.048,,,,,,,false,false,true,true,0.371,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,9ba324d85a67220331c0,true,,,,,,,,200,degraded,7,204,0,0.006,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,7e8b6ee71a00fbb0b09e,true,,,,,,,,200,degraded,7,204,0,0.002,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,c9599a5e9732c9728c80,true,,,,,,,,200,fail,7,2172,0,0.282,,0.002,0.38,0.966,,,,,,,false,false,true,true,0.966,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,66a6b0b43e3cdf684277,true,,,,,,,,200,degraded,7,204,0,0.005,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,e141bc6a632605d49a2f,true,,,,,,,,200,fail,7,2172,0,0.075,,0.007,0.272,0.071,,,,,,,false,false,true,true,0.272,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,ce0ac1e23a218d3cb9b7,true,,,,,,,,200,degraded,7,204,0,0.014,,0.005,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,82c2d3069d6d733ee877,true,,,,,,,,200,degraded,7,204,0,0.027,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,8d974d161a9c8ae30624,true,,,,,,,,200,fail,7,2172,0,0.323,,0.002,0.496,0.81,,,,,,,false,false,true,true,0.81,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,91055fee7b4c06e24afe,true,,,,,,,,200,degraded,7,204,0,0.016,,0.005,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,9d1a0c5281d6231d9f39,true,,,,,,,,200,degraded,7,204,0,0.014,,0.005,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,e4e50994674fce3ba9af,true,,,,,,,,200,degraded,7,204,0,0.019,,0.006,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,d945b7c08ab302d5a0fd,true,,,,,,,,200,degraded,7,204,0,0.004,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,3b95898a5fa1505349ab,true,,,,,,,,200,degraded,7,204,0,0.02,,0.002,0,0.104,,,,,,,false,false,true,true,0.104,,,
fasseg,fasseg,fasseg_eval,8a41f4c1957feb9f844c,true,,,,,,,,200,fail,7,2172,0,0.283,,0.002,0.376,0.96,,,,,,,false,false,true,true,0.96,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,80cab335c4550101b3f2,true,,,,,,,,200,degraded,7,204,0,0.009,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,4dd4aba800bcc725b892,true,,,,,,,,200,degraded,7,204,0,0.006,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,9f3f9948a5cc723496dc,true,,,,,,,,200,degraded,7,204,0,0.019,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,a8ef4727bd0ba30f1519,true,,,,,,,,200,degraded,7,204,0,0.009,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,cad11a987dcb59b9c31a,true,,,,,,,,200,degraded,7,204,0,0.163,,0.001,0,1,,,,,,,false,false,true,true,1,,,
fasseg,fasseg,fasseg_eval,b6d88fa7eee019450100,true,,,,,,,,200,degraded,7,204,0,0.01,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,47ddb4a41c167ced0283,true,,,,,,,,200,degraded,7,204,0,0.008,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,9bab497955bb0a86418e,true,,,,,,,,200,degraded,7,204,0,0.011,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,a5aa357f8256daf1a187,true,,,,,,,,200,degraded,7,204,0,0.011,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,aa06e324845f710e2ff7,true,,,,,,,,200,fail,7,2172,0,0.034,,0.186,0,0,,,,,,,false,false,true,true,0,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,29eac7b6512d2f13a56e,true,,,,,,,,200,degraded,7,204,0,0.011,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,1ff14ee379e4f712a0aa,true,,,,,,,,200,fail,7,2172,0,0.278,,0.001,0.265,0.91,,,,,,,false,false,true,true,0.91,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,7c5630245699f9ee0be3,true,,,,,,,,200,fail,7,2172,0,0.28,,0.002,0.299,0.962,,,,,,,false,false,true,true,0.962,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,ccc42ed66e2468024b8c,true,,,,,,,,200,fail,7,2172,0,0.185,,0.002,0.272,,,,,,,,false,false,true,true,0.272,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,9d34b4a015c71345823f,true,,,,,,,,200,degraded,7,204,0,0.05,,0.008,0.167,0.024,,,,,,,false,false,true,true,0.167,,,
fasseg,fasseg,fasseg_eval,0b7e7a87d4f0d5d130fc,true,,,,,,,,200,degraded,7,204,0,0.015,,0.007,0,0.003,,,,,,,false,false,true,true,0.003,,,
fasseg,fasseg,fasseg_eval,698277a14a1ca95c6992,true,,,,,,,,200,degraded,7,204,0,0.005,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,3c137f23132d4e689e23,true,,,,,,,,200,degraded,7,204,0,0.009,,0.002,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,c425d528d1978cb64946,true,,,,,,,,200,degraded,7,204,0,0.018,,0.005,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,df4fb934884b8677b8c8,true,,,,,,,,200,degraded,7,204,0,0.009,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,70a8b62cb597fd937cd6,true,,,,,,,,200,degraded,7,204,0,0.012,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,84dce1380db16e76fb54,true,,,,,,,,200,degraded,7,204,0,0.209,,0.002,0,1,,,,,,,false,false,true,true,1,,,
fasseg,fasseg,fasseg_eval,6b78c323170466a22904,true,,,,,,,,200,degraded,7,204,0,0.151,,0,0,1,,,,,,,false,false,true,true,1,,,
fasseg,fasseg,fasseg_eval,7260aa9ed4833498f667,true,,,,,,,,200,degraded,7,204,0,0.022,,0.004,0,0.017,,,,,,,false,false,true,true,0.017,,,
fasseg,fasseg,fasseg_eval,baeb42cf90cf77a4229c,true,,,,,,,,200,degraded,7,204,0,0.013,,0.005,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,88acdf9256e773099d44,true,,,,,,,,200,degraded,7,204,0,0.023,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,965b78b01f043e3d68d0,true,,,,,,,,200,degraded,7,204,0,0.009,,0.005,0,0,,,,,,,false,false,true,true,0,,,
